No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage,Travel_Time
22428,Bhrigu SF Express,2,NR,6,1,0,0,0,0,0,0,CNB,6:15,ALD,6:25,1:42,0:10,2:40
2411,Arunachal AC SF Spec...,1,NR,1,0,1,0,0,0,0,0,CNB,6:20,TDL,6:25,1:06,0:05,2:05
22411,Naharlagun - New Del...,1,NR,4,0,0,0,0,1,0,0,CNB,6:20,TDL,6:25,1:24,0:05,2:05
15705,Champaran Humsafar E...,2,NFR,1,0,0,1,0,0,1,0,CNB,6:20,TDL,6:30,0:14,0:10,2:40
12259,Sealdah - New Delhi ...,1,ER,2,0,1,1,0,1,1,0,CNB,6:28,TDL,6:33,0:48,0:05,2:05
12249,Howrah - Anand Vihar...,1,ER,2,1,0,0,0,0,0,0,CNB,6:28,TDL,6:33,1:51,0:05,2:05
20501,Agartala - Anand Vih...,1,NFR,1,0,0,0,1,0,0,0,CNB,6:28,TDL,6:33,0:51,0:05,2:05
64260,Panki - Lucknow Jn. ...,4,NR,9,1,1,1,1,1,1,1,CNB,6:30,LKO,6:35,0:50,0:05,6:10
22442,Kanpur - Chitrakutdh...*,2,NCR,4,1,1,1,1,1,1,1,CNB,6:30,ALD,6:40,0:58,0:10,2:40
64153,Kanpur - Etawah MEMU*,4,NCR,5,1,1,1,1,1,1,1,CNB,6:35,ETW,6:40,1:26,0:05,6:10
55325,Lucknow Junction - K...,5,NER,9,1,1,1,1,1,1,1,CNB,6:43,TDL,7:08,1:31,0:25,6:10
12315,Ananya Express (PT),2,ER,2,0,0,0,0,0,1,0,CNB,6:50,TDL,7:00,0:53,0:10,2:40
12349,Bhagalpur - New Delh...,2,ER,2,0,0,1,0,0,0,0,CNB,6:50,TDL,7:00,0:25,0:10,2:40
12501,Poorvottar Sampark K...,2,NFR,2,1,0,0,0,1,0,0,CNB,6:50,TDL,7:00,0:15,0:10,2:40
15601,Poorvottar Sampark K...,2,NFR,9,0,0,0,1,0,0,0,CNB,6:50,TDL,7:00,1:17,0:10,2:40
14019,Tripura Sundari Expr...,3,NR,1,0,0,0,0,0,0,1,CNB,6:50,TDL,7:05,1:28,0:15,3:10
22427,Bhrigu SF Express,2,NR,1,0,1,0,0,0,0,0,CNB,6:50,TDL,7:00,1:05,0:10,2:40
12534,Pushpak Express (PT),2,NER,8,1,1,1,1,1,1,1,CNB,7:00,LKO,7:10,0:10,0:10,2:40
2265,Sealdah - Anand Viha...,1,ER,1,1,0,0,0,0,0,0,CNB,7:00,TDL,7:05,1:13,0:05,2:05
51802,Kanpur Central - Man...*,5,NCR,10,1,1,1,1,1,1,1,CNB,7:05,ALD,7:30,0:12,0:25,6:10
12817,Jharkhand Swarna Jay...,2,SER,2,0,1,0,0,1,0,1,CNB,7:20,TDL,7:30,0:47,0:10,2:40
12873,Jharkhand Swarna Jay...,2,SER,2,0,0,1,1,0,1,0,CNB,7:20,TDL,7:30,1:30,0:10,2:40
64204,Kanpur - Lucknow MEM...*,4,NR,8,1,1,1,1,1,1,1,CNB,7:20,LKO,7:25,1:10,0:05,6:10
2365,Patna - Anand Vihar ...,2,ECR,1,0,1,0,0,0,1,0,CNB,7:30,TDL,7:40,0:54,0:10,2:40
18632,Ajmer - Ranchi Garib...,3,SER,5,1,0,0,0,0,0,0,CNB,7:40,ALD,7:55,0:42,0:15,3:10
12419,Gomti Express,2,NR,7,1,1,1,1,1,1,1,CNB,7:40,TDL,7:50,0:15,0:10,2:40
14151,Kanpur - Anand Vihar...*,3,NCR,5,1,0,0,0,0,0,0,CNB,7:50,TDL,8:05,0:49,0:15,3:10
15068,Mumbai Bandra T - Go...,3,NER,1,0,0,0,0,0,0,1,CNB,7:50,LKO,8:05,0:34,0:15,3:10
13167,Kolkata - Agra Cantt...,3,ER,9,0,0,0,0,0,1,0,CNB,7:55,TDL,8:10,0:10,0:15,3:10
12104,Lucknow Jn - Pune SF...,2,CR,4,1,0,0,0,0,0,0,CNB,8:00,JHS,8:10,0:28,0:10,3:50
12944,Udyogkarmi Express (...*,2,WR,4,0,0,0,0,0,1,0,CNB,8:00,JHS,8:10,0:50,0:10,3:50
12174,Udyog Nagri Express,2,CR,2,0,0,1,0,1,0,0,CNB,8:00,JHS,8:10,0:54,0:10,3:50
15101,Chhapra - Mumbai CSM...,2,NER,4,0,0,0,1,0,0,0,CNB,8:00,JHS,8:10,1:41,0:10,4:10
15206,Chitrakoot Express (...,3,ECR,8,1,1,1,1,1,1,1,CNB,8:05,LKO,8:20,1:09,0:15,3:10
12942,Parasnath SF Express...,2,WR,2,0,0,0,0,0,1,0,CNB,8:20,TDL,8:30,1:47,0:10,2:40
12948,Azimabad SF Express ...,2,WR,4,0,0,0,0,1,0,1,CNB,8:20,TDL,8:30,1:42,0:10,2:40
12590,Secunderabad - Gorak...,2,NER,6,0,0,0,0,0,0,1,CNB,8:20,LKO,8:30,1:42,0:10,2:40
12592,Yesvantpur - Gorakhp...,2,NER,6,0,0,0,1,0,0,0,CNB,8:20,LKO,8:30,0:54,0:10,2:40
12512,Thiruvananthapuram -...,2,NER,4,0,0,1,0,1,1,0,CNB,8:20,LKO,8:30,0:32,0:10,2:40
12522,Ernakulam - Barauni ...,2,ECR,4,1,0,0,0,0,0,0,CNB,8:20,ALD,8:30,0:21,0:10,2:40
12594,Bhopal - Lucknow Jn ...,2,NER,3,0,1,0,0,0,0,0,CNB,8:20,LKO,8:30,0:39,0:10,2:40
4151,Kanpur - Ahmedabad S...*,3,NCR,1,0,1,0,0,0,0,0,CNB,8:20,TDL,8:35,0:59,0:15,3:10
11408,Lucknow Jn - Pune Ex...,2,CR,1,0,0,0,0,1,0,0,CNB,8:30,JHS,8:40,1:43,0:10,4:10
22921,Bandra Terminus - Go...,2,WR,9,0,1,0,0,0,0,0,CNB,8:35,LKO,8:35,1:40,0:10,
13007,Udyan Abha Toofan Ex...,3,ER,1,1,1,1,1,1,1,1,CNB,8:40,TDL,8:55,1:06,0:15,3:10
4041,Jaynagar - Anand Vih...,3,NR,1,0,0,1,0,0,1,0,CNB,8:50,TDL,9:05,0:48,0:15,3:10
19715,Jaipur - Lucknow Jn ...,3,NWR,9,0,1,0,1,0,0,1,CNB,8:55,LKO,9:10,0:47,0:15,3:10
64206,Kanpur - Lucknow Jn ...*,4,NR,8,1,1,1,1,1,1,1,CNB,9:10,LKO,9:15,1:01,0:05,6:10
51813,Jhansi Lucknow Passe...,5,NCR,6,1,1,1,1,1,1,1,CNB,9:23,LKO,9:48,0:56,0:25,6:10
18191,Utsarg Express,3,SER,5,1,1,1,1,1,1,1,CNB,9:35,TDL,9:50,2:00,0:15,3:10
14102,Kanpur Central - Pra...*,3,NCR,1,1,1,1,1,1,1,1,CNB,9:40,ALD,9:55,1:05,0:15,3:10
12542,Mumbai LTT - Gorakhp...,2,NER,6,1,1,1,1,1,1,1,CNB,9:55,LKO,10:05,1:59,0:10,2:40
14221,Faizabad - Kanpur An...,3,NR,8,1,1,1,1,1,1,1,CNB,10:00,CPA,10:15,1:09,0:15,3:10
14110,Kanpur - Chitrakootd...*,3,NCR,2,1,1,1,1,1,1,1,CNB,10:10,ALD,10:25,1:02,0:15,3:10
12180,Agra Cantt. - Luckno...,2,NCR,7,1,1,1,1,1,1,1,CNB,10:20,LKO,10:30,1:44,0:10,2:40
12323,Howrah - Anand Vihar...,2,ER,2,0,0,0,1,0,0,1,CNB,10:30,TDL,10:40,1:44,0:10,2:40
12815,Nandan Kanan Express...,2,ECoR,1,1,0,1,0,1,1,0,CNB,10:30,TDL,10:40,0:56,0:10,2:40
11109,Jhansi - Lucknow Jn....,3,NCR,7,1,1,1,1,1,1,1,CNB,10:35,LKO,10:50,1:52,0:15,3:10
15037,Kanpur - Kasganj Exp...*,3,NER,9,1,1,1,1,1,1,1,CNB,10:45,TDL,11:00,1:05,0:15,3:10
64208,Kanpur - Lucknow MEM...*,4,NR,8,1,1,1,1,1,1,1,CNB,10:50,LKO,10:55,0:22,0:05,6:10
12308,Jodhpur - Howrah SF ...,2,ER,4,1,1,1,1,1,1,1,CNB,11:00,ALD,11:10,1:39,0:10,2:40
22308,Bikaner - Howrah Lin...,2,ER,7,1,1,1,1,1,1,1,CNB,11:00,ALD,11:10,0:29,0:10,2:40
4133,Allahabad - Bandra T...,2,NCR,1,0,0,0,1,0,0,0,CNB,11:10,JHS,11:20,0:28,0:10,4:10
12004,New Delhi - Lucknow ...,1,NR,6,1,1,1,1,1,1,1,CNB,11:25,LKO,11:30,1:08,0:05,1:15
15024,Yesvantpur - Gorakhp...,3,NER,6,0,0,0,0,0,0,1,CNB,11:35,LKO,11:50,1:22,0:15,3:10
12598,Mumbai CSMT - Gorakh...,2,NER,6,0,0,0,0,1,0,0,CNB,11:35,LKO,11:45,1:43,0:10,2:40
9015,Mumbai Bandra (T.) -...,3,WR,1,1,0,0,0,0,0,0,CNB,11:40,LKO,11:55,1:46,0:15,3:10
82909,Mumbai Bandra Termin...,2,WR,1,1,0,0,0,0,0,0,CNB,11:40,LKO,11:50,1:23,0:10,2:40
2111,Mumbai CSMT - Luckno...,1,CR,9,0,0,0,1,0,0,0,CNB,11:40,LKO,11:45,0:28,0:05,2:05
64210,Kanpur - Lucknow MEM...*,4,NR,8,1,1,1,1,1,1,1,CNB,11:55,LKO,12:00,1:24,0:05,6:10
15046,Okha - Gorakhpur Exp...,3,NER,5,0,0,1,0,0,0,0,CNB,12:10,LKO,12:25,0:25,0:15,3:10
19053,Surat - Muzaffarpur ...,3,WR,5,0,0,0,0,0,0,1,CNB,12:10,ALD,12:25,1:32,0:15,3:10
19410,Gorakhpur - Ahmedaba...,3,WR,7,1,0,0,0,0,0,1,CNB,12:10,TDL,12:25,1:30,0:15,3:10
22121,Mumbai LTT - Lucknow...,1,CR,8,1,0,0,0,0,0,0,CNB,12:10,LKO,12:15,0:44,0:05,2:05
2598,Mumbai CSMT - Gorakh...,2,NER,8,0,1,0,0,0,0,0,CNB,12:10,LKO,12:20,0:39,0:10,2:40
22922,Gorakhpur - Bandra T...,2,WR,7,0,0,1,0,0,0,0,CNB,12:10,JHS,12:20,0:24,0:10,3:50
15045,Gorakhpur - Okha Exp...,3,NER,7,0,0,0,0,1,0,0,CNB,12:15,TDL,12:30,0:13,0:15,3:10
