No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
13010,Doon Express (PT),3,ER,1,1,1,1,1,1,1,1,LKO,8:45,HWH,8:55,3:19,0:10
14369,Triveni Express,3,NR,6,1,0,0,1,0,1,0,LKO,8:45,BE,8:55,1:11,0:10
24369,Triveni Express,3,NR,5,0,1,1,0,1,0,1,LKO,8:45,BE,8:55,0:29,0:10
15068,Mumbai Bandra T - Go...,3,NER,2,0,0,0,0,0,0,1,LKO,9:30,GKP,9:40,2:55,0:10
64205,Lucknow Jn - Kanpur ...*,4,NR,5,1,1,1,1,1,1,1,LKO,9:35,CNB,9:38,1:55,0:03
19403,Ahmedabad - Sultanpu...,3,WR,4,0,0,0,1,0,0,0,LKO,9:40,SLN,9:50,2:53,0:10
22356,Chandigarh - Patlipu...,2,ECR,1,0,0,1,0,0,1,0,LKO,9:40,PPTA,9:45,2:57,0:05
24227,Varuna Express,3,NR,7,1,0,1,1,0,1,1,LKO,10:00,CNB,10:10,2:22,0:10
14524,Harihar Express,3,NR,1,1,0,0,1,0,0,0,LKO,10:10,BJU,10:20,3:59,0:10
15269,Muzaffarpur - Ahmeda...,3,ECR,4,0,0,0,0,0,1,0,LKO,10:15,ADI,10:25,1:37,0:10
19410,Gorakhpur - Ahmedaba...,3,WR,5,1,0,0,0,0,0,1,LKO,10:15,ADI,10:25,0:59,0:10
22922,Gorakhpur - Bandra T...,2,WR,5,0,0,1,0,0,0,0,LKO,10:15,BDTS,10:20,0:35,0:05
19054,Muzaffarpur - Surat ...,3,WR,7,0,1,0,0,0,0,0,LKO,10:30,ST,10:40,2:34,0:10
22921,Bandra Terminus - Go...,2,WR,4,0,1,0,0,0,0,0,LKO,10:30,GKP,10:35,1:45,0:05
13151,Kolkata - Jammu Tawi...,3,ER,3,1,1,1,1,1,1,1,LKO,10:45,JAT,10:55,1:37,0:10
13006,Amritsar - Howrah (P...,3,ER,1,1,1,1,1,1,1,1,LKO,10:50,HWH,11:00,1:25,0:10
54334,Lucknow - Varanasi P...*,5,NR,6,1,1,1,1,1,1,1,LKO,11:00,BSB,11:15,1:33,0:15
4403,Barauni - Anand Viha...,3,NR,4,1,0,0,0,1,0,0,LKO,11:05,ANVT,11:15,3:24,0:10
54256,Lucknow - Varanasi P...*,5,NR,8,1,1,1,1,1,1,1,LKO,11:10,BSB,11:25,3:43,0:15
64207,Lucknow Kanpur MEMU*,4,NR,4,1,1,1,1,1,1,1,LKO,11:20,CNB,11:23,1:53,0:03
4924,Chandigarh - Gorakhp...,3,NR,6,0,0,0,0,0,1,0,LKO,11:20,GKP,11:30,1:03,0:10
64232,Lucknow - Barabanki ...*,4,NR,3,1,1,1,1,1,1,1,LKO,11:30,BBK,11:33,0:05,0:03
15904,Chandigarh - Dibruga...,3,NFR,3,0,1,0,0,1,0,0,LKO,11:30,DBRG,11:40,0:33,0:10
11123,Barauni - Gwalior Ma...,3,NCR,6,1,1,1,1,1,1,1,LKO,11:55,GWL,12:05,3:32,0:10
13050,Amritsar - Howrah Ex...,3,ER,3,1,1,1,1,1,1,1,LKO,12:10,HWH,12:20,0:31,0:10
19306,Guwahati - Indore Ex...,3,WR,6,0,1,0,0,0,0,0,LKO,12:10,INDB,12:20,1:46,0:10
13308,Ganga Sutlej Express,3,ECR,1,1,1,1,1,1,1,1,LKO,12:25,DHN,12:35,2:15,0:10
5705,Katihar - Delhi Cham...,2,NFR,3,0,0,0,1,0,0,0,LKO,12:25,DLI,12:30,3:23,0:05
12356,Archana SF Express,2,ECR,5,0,1,0,0,1,0,0,LKO,12:35,RJPB,12:40,1:23,0:05
14220,Lucknow - Varanasi I...*,3,NR,7,0,1,1,1,1,1,1,LKO,12:55,BSB,13:05,2:39,0:10
9015,Mumbai Bandra (T.) -...,3,WR,4,1,0,0,0,0,0,0,LKO,13:20,GKP,13:30,1:23,0:10
15024,Yesvantpur - Gorakhp...,3,NER,2,0,0,0,0,0,0,1,LKO,13:20,GKP,13:30,0:35,0:10
12598,Mumbai CSMT - Gorakh...,2,NER,2,0,0,0,0,1,0,0,LKO,13:20,GKP,13:25,2:58,0:05
2598,Mumbai CSMT - Gorakh...,2,NER,4,0,1,0,0,0,0,0,LKO,13:20,GKP,13:25,1:53,0:05
82909,Mumbai Bandra Termin...,2,WR,2,1,0,0,0,0,0,0,LKO,13:20,GKP,13:25,0:17,0:05
54201,Lucknow - Rahimabad ...*,5,NR,2,0,0,0,0,0,0,1,LKO,13:30,RBD,13:45,2:54,0:15
12597,Gorakhpur - Mumbai C...,2,NER,7,0,0,1,0,0,0,0,LKO,13:35,CSMT,13:40,3:23,0:05
4998,Bathinda - Varanasi ...,3,NR,2,0,1,0,0,0,0,0,LKO,13:35,BSB,13:45,2:10,0:10
2597,Gorakhpur - Mumbai C...,2,NER,6,0,0,0,0,0,0,1,LKO,13:40,CSMT,13:45,2:29,0:05
12875,Neelachal (Neelancha...,2,ECoR,4,0,1,0,1,0,0,1,LKO,13:45,NDLS,13:50,4:00,0:05
64234,Lucknow Barabanki ME...*,4,NR,2,1,1,1,1,1,1,1,LKO,13:45,BBK,13:48,1:38,0:03
54294,Lucknow - Pratapgarh...*,5,NR,2,1,1,1,1,1,1,1,LKO,13:50,PBH,14:05,1:28,0:15
64209,Lucknow - Kanpur MEM...*,4,NR,3,1,1,1,1,1,1,1,LKO,14:00,CNB,14:03,1:40,0:03
15623,Bhagat Ki Kothi - Ka...,3,NFR,2,0,0,0,1,0,0,0,LKO,14:00,KYQ,14:10,1:15,0:10
19053,Surat - Muzaffarpur ...,3,WR,3,0,0,0,0,0,0,1,LKO,14:10,MFP,14:20,2:19,0:10
