No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,stoppage
18102,Jammu Tawi - Tatanag...,3,SER,6,1,1,1,1,1,1,1,ALD,15:22,JAT,15:30,0:45,0:08
18310,Jammu Tawi - Tatanag...,3,SER,6,1,1,1,1,1,1,1,ALD,15:22,JAT,15:30,0:19,0:08
11071,Kamayani Express (PT...,3,CR,7,1,1,1,1,1,1,1,ALD,15:30,LTT,15:38,3:03,0:08
12506,North East Express (...,2,NFR,4,1,1,1,1,1,1,1,ALD,15:40,ANVT,15:45,3:52,0:05
11037,Pune - Gorakhpur Exp...,3,CR,7,0,0,0,0,0,1,0,ALD,15:50,PUNE,15:58,0:08,0:08
18610,Mumbai LTT - Ranchi ...,3,SER,10,1,0,0,0,0,0,0,ALD,15:50,LTT,15:58,3:36,0:08
22131,Pune - Manduadih Gya...,2,CR,10,0,0,1,0,0,0,0,ALD,15:50,PUNE,15:55,0:47,0:05
11033,Pune - Darbhanga Gya...,3,CR,5,0,0,0,0,1,0,0,ALD,15:50,PUNE,15:58,1:29,0:08
15268,Mumbai LTT - Raxaul ...,3,ECR,10,0,0,0,1,0,0,0,ALD,15:58,LTT,16:06,0:37,0:08
15018,Kashi Express (PT),3,NER,8,1,1,1,1,1,1,1,ALD,16:00,GKP,16:08,2:37,0:08
15018,Gorakhpur -SCSMT Kol...,3,CR,8,1,1,1,1,1,1,1,ALD,16:00,GKP,16:08,1:24,0:08
22806,Anand Vihar Terminal...,2,ECoR,6,0,1,0,0,0,0,0,ALD,16:00,ANVT,16:05,0:11,0:05
12324,Anand Vihar Terminal...,2,ER,4,1,0,0,0,1,0,0,ALD,16:35,ANVT,16:40,1:21,0:05
12396,Ziyarat Express,2,ECR,4,0,0,0,0,0,1,0,ALD,16:35,AII,16:40,1:35,0:05
11056,Godan Express (PT),3,CR,9,1,0,1,1,0,1,0,ALD,16:40,GKP,16:48,0:10,0:08
11060,Godan Express (PT),3,CR,9,0,1,0,0,1,0,1,ALD,16:40,CPR,16:48,3:59,0:08
15118,Jabalpur - Manduadih...,3,NER,7,1,0,0,0,0,0,0,ALD,16:40,JBP,16:48,0:29,0:08
22967,Ahmedabad - Allahaba...*,2,WR,7,0,0,0,0,0,1,0,ALD,16:40,ADI,16:45,0:23,0:05
12488,Seemanchal Express,2,NR,4,1,1,1,1,1,1,1,ALD,16:45,ANVT,16:50,2:49,0:05
12488,Seemanchal Link Expr...,2,NR,4,1,1,1,1,1,1,1,ALD,16:45,ANVT,16:50,3:28,0:05
12312,Kalka Mail,2,ER,6,1,1,1,1,1,1,1,ALD,17:10,KLK,17:15,3:54,0:05
9412,Patna - Ahmedabad We...,3,WR,2,0,0,0,1,0,0,0,ALD,17:20,PNBE,17:28,2:57,0:08
15484,Sikkim Mahananda Exp...,3,NFR,4,1,1,1,1,1,1,1,ALD,17:55,DLI,18:03,1:24,0:08
22441,Chitrakutdham Karwi ...,2,NCR,2,1,1,1,1,1,1,1,ALD,18:10,CKTD,18:15,1:56,0:05
11053,Mumbai LTT - Azamgar...,3,CR,8,0,0,0,0,1,0,0,ALD,18:10,LTT,18:18,3:05,0:08
54159,Jhansi - Allahabad P...*,5,NCR,3,1,1,1,1,1,1,1,ALD,18:45,JHS,19:00,3:31,0:15
14005,Lichchavi Express,3,NR,7,1,1,1,1,1,1,1,ALD,18:50,SMI,18:58,1:12,0:08
4186,Patna - Jhansi Summe...,3,NCR,2,0,0,0,0,1,0,0,ALD,18:55,PNBE,19:03,1:27,0:08
14055,Brahmaputra Mail (PT...,3,NR,1,1,1,1,1,1,1,1,ALD,19:15,DBRG,19:23,2:25,0:08
11072,Kamayani Express,3,CR,8,1,1,1,1,1,1,1,ALD,19:20,BSB,19:28,1:09,0:08
19422,Patna - Ahmedabad Ex...,3,WR,10,0,0,1,0,0,0,0,ALD,19:25,PNBE,19:33,0:05,0:08
12801,Purushottam SF Expre...,2,ECoR,3,1,1,1,1,1,1,1,ALD,19:40,PURI,19:45,1:41,0:05
64592,Kanpur Central - All...*,4,NCR,9,1,1,1,1,1,1,1,ALD,19:45,CNB,19:47,2:03,0:02
12397,Mahabodhi Express (P...,2,ECR,2,1,1,1,1,1,1,1,ALD,19:50,GAYA,19:55,0:46,0:05
4043,Gaya - Anand Vihar T...,3,NR,2,0,0,0,0,0,1,0,ALD,19:55,GAYA,20:03,0:14,0:08
18206,Nautanwa - Durg Expr...,3,SECR,7,0,0,0,0,0,0,1,ALD,20:05,NTV,20:13,0:16,0:08
12398,Mahabodhi Express,2,ECR,4,1,1,1,1,1,1,1,ALD,20:10,NDLS,20:15,2:00,0:05
