No.,Name,Type,Zone,PF,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,src,ar,des,dep,lateness,Stoppage
18237,Chhattisgarh Express...,3,SECR,4,1,1,1,1,1,1,1,JHS,12:20,BSP,12:30,2:57,0:10
59386,Penchvalley Passenge...,3,CR,4,1,1,1,1,1,1,1,JHS,12:20,CWA,12:30,2:55,0:10
12138,Punjab Mail,2,CR,3,1,1,1,1,1,1,1,JHS,12:25,FZR,12:30,1:22,0:05
51804,Kanpur - Jhansi Pass...*,5,NCR,2,1,1,1,1,1,1,1,JHS,12:30,CNB,12:50,1:22,0:20
12148,Hazrat Nizamuddin - ...,2,CR,4,0,0,0,0,1,0,0,JHS,12:35,NZM,12:40,2:34,0:05
12646,Millennium Express (...,2,SR,2,0,0,1,0,0,0,0,JHS,12:35,NZM,12:40,2:26,0:05
12782,Delhi Hazrat Nizamud...,2,SWR,4,0,1,0,0,0,0,0,JHS,12:35,NZM,12:40,0:36,0:05
12804,Hazrat Nizamuddin ? ...,2,ECoR,3,1,0,0,1,0,0,0,JHS,12:35,NZM,12:40,1:07,0:05
12644,Hazrat Nizamuddin - ...,2,SR,4,0,0,0,0,0,1,0,JHS,12:35,NZM,12:40,1:27,0:05
12050,Gatimaan Express*,1,NR,2,1,1,1,1,1,0,1,JHS,12:35,NZM,12:38,3:00,0:03
22416,Andhra Pradesh AC SF...,2,NR,3,1,1,1,1,1,1,1,JHS,12:48,NDLS,12:53,1:05,0:05
15066,Panvel - Gorakhpur E...,3,NER,5,1,0,1,0,1,0,1,JHS,12:50,PNVL,13:00,3:25,0:10
11408,Lucknow Jn - Pune Ex...,3,CR,2,0,0,0,0,1,0,0,JHS,12:58,LJN,13:08,2:28,0:10
18238,Chhattisgarh Express...,3,SECR,2,1,1,1,1,1,1,1,JHS,13:10,ASR,13:20,1:01,0:10
18238,Chhattisgarh Express...,3,CR,2,1,1,1,1,1,1,1,JHS,13:10,ASR,13:20,2:37,0:10
11124,Gwalior - Barauni Ma...,3,NCR,1,1,1,1,1,1,1,1,JHS,13:30,GWL,13:40,0:00,0:10
19665,Khajuraho - Udaipur ...,3,NWR,5,1,1,1,1,1,1,1,JHS,13:30,KURJ,13:40,1:29,0:10
11077,Jhelum Express (PT),3,CR,4,1,1,1,1,1,1,1,JHS,13:37,PUNE,13:47,0:46,0:10
12708,Andhra Pradesh Sampa...,2,SCR,3,1,0,0,1,0,1,0,JHS,13:45,NZM,13:50,2:39,0:05
12652,Tamil Nadu Sampark K...,2,SR,2,0,0,1,0,1,0,0,JHS,13:45,NZM,13:50,0:34,0:05
12642,Thirukkural SF Expre...,2,SR,3,0,1,0,0,0,0,1,JHS,13:45,NZM,13:50,1:08,0:05
12687,Madurai - Dehradun S...,2,SR,5,0,0,1,0,0,1,0,JHS,14:00,MDU,14:05,1:11,0:05
16317,Himsagar Express (PT...,3,SR,3,1,0,0,0,0,0,0,JHS,14:00,CAPE,14:10,0:52,0:10
